4P3A:	HEADER    IMMUNE SYSTEM                           06-MAR-14   4P3A              
5HEE:	HEADER    OXIDOREDUCTASE                          06-JAN-16   5HEE              
4HMS:	HEADER    OXIDOREDUCTASE                          18-OCT-12   4HMS              
4P3H:	HEADER    HYDROLASE                               07-MAR-14   4P3H              
3MC3:	HEADER    STRUCTURAL GENOMICS, UNKNOWN FUNCTION   26-MAR-10   3MC3              
4I8I:	HEADER    STRUCTURAL GENOMICS, UNKNOWN FUNCTION   03-DEC-12   4I8I              
2FJ8:	HEADER    HYDROLASE INHIBITOR                     02-JAN-06   2FJ8              
4P3V:	HEADER    DNA BINDING PROTEIN                     10-MAR-14   4P3V              
2YLN:	HEADER    TRANSPORT PROTEIN                       03-JUN-11   2YLN              
1EGW:	HEADER    TRANSCRIPTION/DNA                       17-FEB-00   1EGW              
5UGR:	HEADER    LYASE                                   09-JAN-17   5UGR              
5B7D:	HEADER    TRANSCRIPTION                           07-JUN-16   5B7D              
5B7E:	HEADER    OXIDOREDUCTASE                          07-JUN-16   5B7E              
5B7F:	HEADER    OXIDOREDUCTASE                          07-JUN-16   5B7F              
5D7U:	HEADER    HYDROLASE                               14-AUG-15   5D7U              
4WWB:	HEADER    METAL BINDING PROTEIN                   10-NOV-14   4WWB              
2V8I:	HEADER    LYASE                                   08-AUG-07   2V8I              
5ECK:	HEADER    LIGASE/TRANSFERASE                      20-OCT-15   5ECK              
4LMY:	HEADER    TRANSCRIPTION                           11-JUL-13   4LMY              
2V8T:	HEADER    OXIDOREDUCTASE                          14-AUG-07   2V8T              
3VNY:	HEADER    HYDROLASE                               18-JAN-12   3VNY              
2DPL:	HEADER    LIGASE                                  12-MAY-06   2DPL              
4N30:	HEADER    OXIDOREDUCTASE                          06-OCT-13   4N30              
2NR7:	HEADER    STRUCTURAL GENOMICS, UNKNOWN FUNCTION   01-NOV-06   2NR7              
3QVP:	HEADER    OXIDOREDUCTASE                          25-FEB-11   3QVP              
3SHG:	HEADER    TRANSFERASE/PROTEIN BINDING             16-JUN-11   3SHG              
3FEG:	HEADER    TRANSFERASE                             29-NOV-08   3FEG              
4YNH:	HEADER    STRUCTURAL PROTEIN                      10-MAR-15   4YNH              
2IP6:	HEADER    ANTIMICROBIAL PROTEIN                   12-OCT-06   2IP6              
2BRY:	HEADER    TRANSPORT                               13-MAY-05   2BRY              
2NRR:	HEADER    HYDROLASE                               02-NOV-06   2NRR              
5B78:	HEADER    TRANSFERASE                             05-JUN-16   5B78              
4YNX:	HEADER    UNKNOWN FUNCTION                        11-MAR-15   4YNX              
4TVO:	HEADER    OXIDOREDUCTASE                          27-JUN-14   4TVO              
3LAG:	HEADER    STRUCTURAL GENOMICS, UNKNOWN FUNCTION   06-JAN-10   3LAG              
1UCS:	HEADER    ANTIFREEZE PROTEIN                      21-APR-03   1UCS              
1UCR:	HEADER    UNKNOWN FUNCTION                        18-APR-03   1UCR              
4X1Z:	HEADER    VIRAL PROTEIN                           25-NOV-14   4X1Z              
4BQN:	HEADER    TRANSFERASE                             31-MAY-13   4BQN              
4CC2:	HEADER    STRUCTURAL PROTEIN                      17-OCT-13   4CC2              
2RE2:	HEADER    OXIDOREDUCTASE                          25-SEP-07   2RE2              
3MCW:	HEADER    HYDROLASE                               29-MAR-10   3MCW              
2P4F:	HEADER    CHAPERONE                               12-MAR-07   2P4F              
1UCD:	HEADER    HYDROLASE                               10-APR-03   1UCD              
2PQ8:	HEADER    TRANSFERASE                             01-MAY-07   2PQ8              
3TDU:	HEADER    LIGASE/PROTEIN BINDING                  11-AUG-11   3TDU              
2PQ7:	HEADER    HYDROLASE                               01-MAY-07   2PQ7              
4BQY:	HEADER    OXIDOREDUCTASE                          03-JUN-13   4BQY              
1RK6:	HEADER    HYDROLASE                               20-NOV-03   1RK6              
2P4H:	HEADER    PLANT PROTEIN                           12-MAR-07   2P4H              
1ZK5:	HEADER    CELL ADHESION                           02-MAY-05   1ZK5              
4GMU:	HEADER    LYASE                                   16-AUG-12   4GMU              
4B5O:	HEADER    TRANSFERASE                             07-AUG-12   4B5O              
1V05:	HEADER    ACTIN-BINDING PROTEIN                   22-MAR-04   1V05              
5GMD:	HEADER    LYASE                                   13-JUL-16   5GMD              
2ORW:	HEADER    TRANSFERASE                             04-FEB-07   2ORW              
2OKT:	HEADER    LYASE                                   17-JAN-07   2OKT              
2OZT:	HEADER    LYASE                                   27-FEB-07   2OZT              
3PHX:	HEADER    HYDROLASE/PROTEIN BINDING               04-NOV-10   3PHX              
2ZNR:	HEADER    HYDROLASE                               01-MAY-08   2ZNR              
3KGK:	HEADER    CHAPERONE                               29-OCT-09   3KGK              
3FMY:	HEADER    DNA BINDING PROTEIN                     22-DEC-08   3FMY              
1LZL:	HEADER    HYDROLASE                               10-JUN-02   1LZL              
4AU1:	HEADER    ISOMERASE                               11-MAY-12   4AU1              
3AJ6:	HEADER    TOXIN                                   24-MAY-10   3AJ6              
3AJ7:	HEADER    HYDROLASE                               26-MAY-10   3AJ7              
1W7C:	HEADER    OXIDOREDUCTASE                          01-SEP-04   1W7C              
4LER:	HEADER    SUGAR BINDING PROTEIN                   26-JUN-13   4LER              
2OZN:	HEADER    TOXIN                                   26-FEB-07   2OZN              
2OZJ:	HEADER    UNKNOWN FUNCTION                        26-FEB-07   2OZJ              
2OZH:	HEADER    TRANSFERASE                             26-FEB-07   2OZH              
4F54:	HEADER    STRUCTURAL GENOMICS, UNKNOWN FUNCTION   11-MAY-12   4F54              
3AJD:	HEADER    TRANSFERASE                             01-JUN-10   3AJD              
1WER:	HEADER    GTPASE ACTIVATION                       20-NOV-96   1WER              
4HU2:	HEADER    UNKNOWN FUNCTION                        02-NOV-12   4HU2              
3FCN:	HEADER    UNKNOWN FUNCTION                        21-NOV-08   3FCN              
4TXR:	HEADER    PROTEIN TRANSPORT                       04-JUL-14   4TXR              
4Y9I:	HEADER    OXIDOREDUCTASE                          17-FEB-15   4Y9I              
5ML3:	HEADER    LIPID BINDING PROTEIN                   06-DEC-16   5ML3              
2XN6:	HEADER    TRANSPORT                               30-JUL-10   2XN6              
3MMH:	HEADER    OXIDOREDUCTASE                          19-APR-10   3MMH              
2XOM:	HEADER    HYDROLASE                               20-AUG-10   2XOM              
4NL9:	HEADER    STRUCTURAL PROTEIN                      13-NOV-13   4NL9              
4QEK:	HEADER    TRANSFERASE                             16-MAY-14   4QEK              
4WIQ:	HEADER    STRUCTURAL PROTEIN                      26-SEP-14   4WIQ              
1V0W:	HEADER    HYDROLASE                               02-APR-04   1V0W              
1ZKE:	HEADER    STRUCTURAL GENOMICS, UNKNOWN FUNCTION   02-MAY-05   1ZKE              
2H1V:	HEADER    LYASE                                   17-MAY-06   2H1V              
3QX1:	HEADER    PROTEIN BINDING                         01-MAR-11   3QX1              
4WCK:	HEADER    HYDROLASE                               05-SEP-14   4WCK              
3IMK:	HEADER    METAL BINDING PROTEIN                   10-AUG-09   3IMK              
4K82:	HEADER    STRUCTURAL PROTEIN                      17-APR-13   4K82              
1Q5Y:	HEADER    METAL BINDING PROTEIN                   11-AUG-03   1Q5Y              
1RYO:	HEADER    METAL TRANSPORT                         22-DEC-03   1RYO              
1RYL:	HEADER    STRUCTURAL GENOMICS, UNKNOWN FUNCTION   22-DEC-03   1RYL              
4PIO:	HEADER    TRANSFERASE                             09-MAY-14   4PIO              
1JZ8:	HEADER    HYDROLASE                               13-SEP-01   1JZ8              
